               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11639,             0.31849,             0.05849,            0.004492,            0.043875,           0.0036992,          0.00054965,             0.11495,             0.18539,            0.058259,              0.0973,              0.0003,              0.0003
                   1,             0.11502,             0.33387,            0.058265,           0.0029526,            0.025791,           0.0016532,           0.0003232,             0.11333,             0.18808,            0.057897,            0.093693,          0.00069307,          0.00069307
                   2,             0.11339,             0.33193,            0.057893,            0.007832,            0.051582,            0.004797,          0.00093168,              0.1106,             0.19296,            0.057203,            0.090078,           0.0010782,           0.0010782
                   3,             0.11057,              0.3362,            0.057108,             0.01398,            0.029256,           0.0081837,           0.0020752,              0.1067,             0.19911,            0.056162,            0.086455,           0.0014555,           0.0014555
                   4,             0.10673,             0.30902,            0.056369,            0.014296,            0.028392,           0.0089774,           0.0024614,             0.10392,             0.20176,            0.055291,            0.082825,           0.0018248,           0.0018248
                   5,             0.10708,             0.37005,            0.055415,            0.010913,            0.025086,           0.0066556,           0.0017739,             0.10284,             0.20105,            0.054041,            0.079186,           0.0021861,           0.0021861
                   6,             0.10422,              0.3364,            0.054352,           0.0087966,            0.023865,           0.0060508,           0.0017914,             0.10244,              0.2177,            0.052617,             0.07554,           0.0025396,           0.0025396
                   7,             0.10347,             0.36715,            0.053555,             0.30217,            0.020757,           0.0083372,            0.002554,             0.10006,             0.25051,            0.051412,            0.071885,           0.0028852,           0.0028852
                   8,             0.10024,             0.33177,            0.051935,            0.024565,            0.056316,            0.020065,            0.006176,            0.096208,             0.25579,             0.05022,            0.068223,           0.0032228,           0.0032228
                   9,             0.09666,             0.33011,            0.050527,            0.022665,            0.031191,            0.015075,           0.0047229,            0.093012,             0.27064,             0.04854,            0.064553,           0.0035525,           0.0035525
                  10,            0.093589,             0.35805,             0.04858,             0.18927,            0.040134,            0.020171,           0.0044028,            0.089663,             0.32015,            0.046828,            0.060874,           0.0038743,           0.0038743
                  11,            0.088454,              0.3295,            0.046619,             0.48412,            0.029502,            0.022454,           0.0058204,            0.086702,             0.27991,            0.045473,            0.057188,           0.0041882,           0.0041882
                  12,            0.083231,             0.34282,            0.045157,              0.6096,            0.032967,            0.032508,           0.0084395,            0.083858,               0.275,            0.044869,            0.053494,           0.0044941,           0.0044941
                  13,            0.081913,             0.33019,            0.044081,            0.038799,             0.04746,            0.024402,           0.0062986,            0.088711,             0.29311,            0.044384,            0.049792,           0.0047922,           0.0047922
                  14,            0.080072,              0.3704,            0.043242,             0.31131,            0.023985,            0.016113,           0.0067458,            0.088313,             0.29255,            0.043867,            0.046082,           0.0050823,           0.0050823
                  15,            0.079794,             0.36607,            0.042813,            0.044824,            0.072498,            0.038863,            0.014253,            0.076043,              0.2276,            0.043232,            0.042364,           0.0053644,           0.0053644
                  16,            0.075253,             0.32246,            0.041463,             0.20016,            0.053478,            0.035188,            0.012337,            0.085519,              0.2591,            0.042779,            0.038639,           0.0056387,           0.0056387
                  17,            0.071918,             0.31239,            0.040984,            0.053229,            0.072276,            0.040173,            0.015525,            0.088831,             0.24154,            0.042374,            0.034905,           0.0059051,           0.0059051
                  18,            0.075726,             0.33918,            0.040014,             0.22325,             0.10823,            0.073515,            0.024125,            0.072441,             0.24093,            0.042299,            0.031163,           0.0061635,           0.0061635
                  19,            0.070704,             0.33428,            0.039728,            0.076025,             0.12994,            0.067397,             0.02827,             0.07723,             0.22377,             0.04172,            0.027414,            0.006414,            0.006414
                  20,             0.07151,             0.38588,            0.039794,             0.03414,            0.046167,            0.026962,            0.010864,            0.090575,             0.28993,            0.041206,            0.023657,           0.0066566,           0.0066566
                  21,            0.080684,             0.37117,            0.039157,            0.068071,             0.12152,            0.058997,            0.020724,            0.069402,             0.25589,            0.040852,            0.019891,           0.0068913,           0.0068913
                  22,            0.066605,              0.3214,            0.038977,            0.058123,             0.12944,            0.052612,            0.016509,            0.075838,             0.23813,            0.040615,            0.016118,            0.007118,            0.007118
                  23,             0.07241,             0.33073,             0.03838,            0.059375,             0.14298,            0.057068,            0.020327,            0.068626,             0.25489,            0.040324,            0.012337,           0.0073369,           0.0073369
                  24,            0.068809,              0.3182,            0.038254,             0.03792,             0.11372,            0.043284,            0.016942,            0.076631,              0.2466,            0.039948,           0.0085478,           0.0075478,           0.0075478
                  25,            0.073125,             0.30726,            0.037942,            0.059977,             0.14282,            0.063228,            0.023606,            0.066602,             0.23912,            0.039769,            0.007525,            0.007525,            0.007525
                  26,            0.066461,             0.32399,            0.037523,            0.059137,             0.13564,             0.06363,             0.02827,            0.074313,             0.24677,            0.039189,            0.007525,            0.007525,            0.007525
                  27,            0.071661,             0.34202,            0.037139,             0.44185,             0.13944,              0.1172,            0.046478,            0.063777,             0.22701,            0.038937,            0.007426,            0.007426,            0.007426
                  28,            0.063118,             0.32814,            0.037616,             0.26673,             0.13297,            0.091728,            0.047799,            0.057375,             0.24246,            0.038546,            0.007327,            0.007327,            0.007327
                  29,            0.060612,             0.32034,            0.037309,             0.39159,              0.1842,             0.15811,            0.059218,            0.060656,             0.22726,            0.038139,            0.007228,            0.007228,            0.007228
                  30,             0.06002,             0.34014,            0.036892,             0.33575,             0.19104,             0.12943,             0.06582,            0.055992,             0.24993,            0.037909,            0.007129,            0.007129,            0.007129
